Family,Meaning,Variety,Example
Blattodea,("insect avoiding light"),3700,Cockroach,
Coleoptera,("hard wings"),400000,Ladybug,
Collembola,("sticky peg"),6000,Springtail,
Dermaptera,("leathery wings"),1800,Earwigs,
Diptera,("two wings"),120000,Mosquito,
Embioptera,(""),NA,Webspinners,
Ephemeroptera,("living for a day"),2100,Mayflies,
Grylloblattodea,(""),NA,Ice Insect,
Hemiptera,("half wings"),82000,Cicada,
Homoptera,(""),NA,Leafhopper,
Hymenoptera,("membrane wings"),130000,Ant / Bee,
Isoptera,("equal wings"),2300,Termite,
Lepidoptera,("scaly wings"),150000,Butterfly,
Mallophaga,(""),NA,Chewing Louse,
Mantodea,("like a prophet"),1800,Praying Mantis,
Mecoptera,("long wings"),400,Scorpion Fly,
Megaloptera,(""),NA,Alderfly / Dobsonfly,
Microcoryphia,(""),NA,Bristletail,
Neuroptera,("net-veined wings"),5000,Lacewings,
Odonata,("toothed flies"),5500,Dragonfly,
Oleoptera,(""),NA,Beetle,
Orthoptera,("straight wings"),20500,Cricket,
Phasmatodea,("like a ghost"),2500,Walking Stick,
Phthiraptera,("louse wings"),3000,Lice,
Piecoptera,("wickerwork wings"),2000,Stonefly,
Protura,(""),NA,Proturan,
Psocoptera,("milled wings"),3200,Woodlice,
Raphidoptera,(""),NA,Snakefly,
Siphonaptera,("tube without wings"),2400,Flea,
Strepsiptera,(""),NA,Parasite,
Thysanoptera,("fringed wings"),5000,Thrip,
Thysanura,("bristle tails"),370,Silverfish,
Trichoptera,("hairy wings"),10000,Caddisfly,
Zoraptera,(""),NA,Zorapteran
